----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [16, 16, 416, 416]             432
       BatchNorm2d-2         [16, 16, 416, 416]              32
         LeakyReLU-3         [16, 16, 416, 416]               0
          CNNBlock-4         [16, 16, 416, 416]               0
            Conv2d-5          [16, 8, 416, 416]             128
       BatchNorm2d-6          [16, 8, 416, 416]              16
         LeakyReLU-7          [16, 8, 416, 416]               0
          CNNBlock-8          [16, 8, 416, 416]               0
            Conv2d-9         [16, 16, 416, 416]           1,152
      BatchNorm2d-10         [16, 16, 416, 416]              32
        LeakyReLU-11         [16, 16, 416, 416]               0
         CNNBlock-12         [16, 16, 416, 416]               0
    ResidualBlock-13         [16, 16, 416, 416]               0
           Conv2d-14         [16, 32, 208, 208]           4,608
      BatchNorm2d-15         [16, 32, 208, 208]              64
        LeakyReLU-16         [16, 32, 208, 208]               0
         CNNBlock-17         [16, 32, 208, 208]               0
           Conv2d-18         [16, 16, 208, 208]             512
      BatchNorm2d-19         [16, 16, 208, 208]              32
        LeakyReLU-20         [16, 16, 208, 208]               0
         CNNBlock-21         [16, 16, 208, 208]               0
           Conv2d-22         [16, 32, 208, 208]           4,608
      BatchNorm2d-23         [16, 32, 208, 208]              64
        LeakyReLU-24         [16, 32, 208, 208]               0
         CNNBlock-25         [16, 32, 208, 208]               0
    ResidualBlock-26         [16, 32, 208, 208]               0
           Conv2d-27         [16, 64, 104, 104]          18,432
      BatchNorm2d-28         [16, 64, 104, 104]             128
        LeakyReLU-29         [16, 64, 104, 104]               0
         CNNBlock-30         [16, 64, 104, 104]               0
           Conv2d-31         [16, 32, 104, 104]           2,048
      BatchNorm2d-32         [16, 32, 104, 104]              64
        LeakyReLU-33         [16, 32, 104, 104]               0
         CNNBlock-34         [16, 32, 104, 104]               0
           Conv2d-35         [16, 64, 104, 104]          18,432
      BatchNorm2d-36         [16, 64, 104, 104]             128
        LeakyReLU-37         [16, 64, 104, 104]               0
         CNNBlock-38         [16, 64, 104, 104]               0
    ResidualBlock-39         [16, 64, 104, 104]               0
           Conv2d-40          [16, 128, 52, 52]          73,728
      BatchNorm2d-41          [16, 128, 52, 52]             256
        LeakyReLU-42          [16, 128, 52, 52]               0
         CNNBlock-43          [16, 128, 52, 52]               0
           Conv2d-44           [16, 64, 52, 52]           8,192
      BatchNorm2d-45           [16, 64, 52, 52]             128
        LeakyReLU-46           [16, 64, 52, 52]               0
         CNNBlock-47           [16, 64, 52, 52]               0
           Conv2d-48          [16, 128, 52, 52]          73,728
      BatchNorm2d-49          [16, 128, 52, 52]             256
        LeakyReLU-50          [16, 128, 52, 52]               0
         CNNBlock-51          [16, 128, 52, 52]               0
           Conv2d-52           [16, 64, 52, 52]           8,192
      BatchNorm2d-53           [16, 64, 52, 52]             128
        LeakyReLU-54           [16, 64, 52, 52]               0
         CNNBlock-55           [16, 64, 52, 52]               0
           Conv2d-56          [16, 128, 52, 52]          73,728
      BatchNorm2d-57          [16, 128, 52, 52]             256
        LeakyReLU-58          [16, 128, 52, 52]               0
         CNNBlock-59          [16, 128, 52, 52]               0
           Conv2d-60           [16, 64, 52, 52]           8,192
      BatchNorm2d-61           [16, 64, 52, 52]             128
        LeakyReLU-62           [16, 64, 52, 52]               0
         CNNBlock-63           [16, 64, 52, 52]               0
